"Territory","Macro territory","PCA dimension 0","PCA dimension 1","PCA dimension 2","Winner Cluster"
"North-East","North-East",0.6015835020005856,-0.0025925686618263263,-0.06659489880514777,"cluster_0"
"Centre","Centre",0.2640445990277288,-0.09953940366407733,0.05053990794474775,"cluster_0"
"Southern regions","Southern regions",-0.6762367386797864,-0.24024085656845143,-0.008692180832553917,"cluster_1"
"South","South",-0.586663057110585,-0.225917576433722,-0.05575673631527964,"cluster_1"
"Islands","Islands",-0.8797999704409595,-0.28361364614215395,0.10535787942153511,"cluster_1"
"Italy","Italy",0.04295101969676467,-0.15121726044619932,0.04498073340449073,"cluster_0"
"Piemonte","North-West",0.41690532156219534,-0.12188115434518029,0.06413388986751309,"cluster_0"
"Liguria","North-West",0.47657730029714807,-0.13817121836898244,0.26532496126708693,"cluster_0"
"Lombardia","North-West",0.6798888329651935,-0.2659926591693915,0.06647662236701712,"cluster_0"
"Trentino-Alto Adige","North-East",0.8736276532076944,-0.3067680570107145,0.07581045142303924,"cluster_0"
"Provincia Autonoma di Bolzano/Bozen","North-East",0.998069840155213,-0.18795940575611245,0.20873233074176736,"cluster_0"
"Veneto","North-East",0.676772398863171,-0.24400748192833763,-0.12132837599232896,"cluster_0"
"Friuli-Venezia Giulia","North-East",0.6616885041804097,-0.08167224764251117,-0.22340316868550839,"cluster_0"
"Emilia-Romagna","North-East",0.7035343658908999,-0.23323096599778118,-0.01254055108108524,"cluster_0"
"Toscana","Centre",0.5315267027785173,-0.2058173363239767,-0.08075913749599908,"cluster_0"
"Umbria","Centre",0.41257494193958844,0.02550660002552617,-0.2388105535325451,"cluster_0"
"Marche","Centre",0.5371388111718952,-0.0428435682241478,-0.21114758719573426,"cluster_0"
"Lazio","Centre",0.11685810031178806,-0.1731870211104094,0.20246429983059813,"cluster_0"
"Abruzzo","South",0.07719181775732444,-0.0659320031721658,-0.16543997369111027,"cluster_0"
"Molise","South",0.052877729693959534,-0.12125673300964686,-0.25159612401570325,"cluster_0"
"Campania","South",-1.0346691319507249,-0.41714706936469337,0.28083124709543184,"cluster_1"
"Puglia","South",-0.26375693125279337,-0.21910759467979996,-0.2373783217660353,"cluster_1"
"Basilicata","South",-0.23142382440539755,-0.4350452035562302,-0.1952999549620701,"cluster_1"
"Calabria","South",-0.35722594488047715,-0.41101004206287506,-0.25175065121556,"cluster_1"
"Sicilia","Islands",-0.9418627065559665,-0.42538397801965344,0.0943422236577209,"cluster_1"
"Sardegna","Islands",-0.3032906351515521,-0.3536462609367398,-0.16891851277359513,"cluster_1"
"North","North",0.6350735614076596,-0.22305652290568478,0.020128514153826375,"cluster_0"
"North-West","North-West",0.590052398671677,-0.21314170088205275,0.08271211454942744,"cluster_0"
"North-East","North-East",0.7013315477389037,-0.227477724446303,-0.06975551032149974,"cluster_0"
"Centre","Centre",0.31933026912378354,-0.15556380531044733,0.03380048229301158,"cluster_0"
"Southern regions","Southern regions",-0.6354005836128653,-0.3547467218479521,0.0035636536426493677,"cluster_1"
"South","South",-0.5692221305897204,-0.3262764867163549,-0.0017337954090686156,"cluster_1"
"Islands","Islands",-0.7958678122416454,-0.41972204166260874,0.0435973919076869,"cluster_1"
"Italy","Italy",0.12257988347155069,-0.2651571783130243,0.03321865771590381,"cluster_0"
"Piemonte","North-West",0.5866177137139641,-0.2822404364990349,0.14001561988269512,"cluster_0"
"Liguria","North-West",0.46026302306479333,-0.05625542202554128,0.26205172743001753,"cluster_0"
"Lombardia","North-West",0.7108229917306441,-0.3690346973241847,0.11159482746506777,"cluster_0"
"Trentino-Alto Adige","North-East",0.9868735125617858,-0.3391906054845859,0.09652072873130411,"cluster_0"
"Provincia Autonoma di Trento","North-East",0.9286245770700503,-0.39334975778050013,-0.20015760139173983,"cluster_0"
"Veneto","North-East",0.7230001932232001,-0.04261695000020807,-0.23492990128949626,"cluster_0"
"Friuli-Venezia Giulia","North-East",0.7403900556844485,-0.26698505935005945,-0.1189847302413423,"cluster_0"
"Emilia-Romagna","North-East",0.6401997082043395,-0.0275296021278416,0.098345920170359,"cluster_0"
"Toscana","Centre",0.5532915625018322,-0.165529778616354,-0.09561055591140621,"cluster_0"
"Umbria","Centre",0.670143913905369,-0.054775177800887004,-0.2547270960735205,"cluster_0"
"Marche","Centre",0.5100216470689132,0.028141116435893593,-0.24180514717953563,"cluster_0"
"Lazio","Centre",0.3211634569220553,-0.3908333313951342,0.09827347041388494,"cluster_0"
"Abruzzo","South",0.21351984104076863,-0.12637731275637848,-0.33860060780212903,"cluster_0"
"Molise","South",-0.30863402915558896,-0.3345795348837122,0.13265950977486746,"cluster_1"
"Campania","South",-0.7806087152906179,-0.6212828468265343,0.19505767668725382,"cluster_1"
"Puglia","South",-0.1967128485809005,-0.34025702765717536,-0.14327811578532076,"cluster_1"
"Basilicata","South",0.022235297930201556,-0.385446554593693,-0.3526242580499912,"cluster_0"
"Calabria","South",-0.20515494728617661,-0.4091694519138516,-0.2765260475431757,"cluster_1"
"Sicilia","Islands",-0.8482304371893327,-0.6541290036089926,0.36048691018223566,"cluster_1"
"Sardegna","Islands",-0.02425035283670436,-0.7027375501782807,-0.08369312448102993,"cluster_0"
"North","North",0.6800425462649574,-0.21833413409234026,0.05135409106017221,"cluster_0"
"North-West","North-West",0.6527906719037242,-0.3122853892179458,0.135572766020665,"cluster_0"
"North-East","North-East",0.7155609639719288,-0.08955631552765295,-0.0618880552648943,"cluster_0"
"Centre","Centre",0.439923499611851,-0.24263551564966973,-0.03214137725759789,"cluster_0"
"Southern regions","Southern regions",-0.48122166842970576,-0.5234110625203342,0.05652538254225278,"cluster_1"
"South","South",-0.4023470690427856,-0.4566336937795592,-0.03396739868109626,"cluster_1"
"Islands","Islands",-0.6498091185784729,-0.6704010948356676,0.254006152875409,"cluster_1"
"Italy","Italy",0.22020830125024235,-0.3369590687588307,0.052933884986725216,"cluster_0"
